mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,pitch_mean,energy_mean,zcr_mean,duration,file_path,actor,emotion,confidence_label
-450.4743,114.354576,-13.819466,31.798847,0.47914726,-10.455821,-13.727076,-29.941748,-19.479649,0.110514835,-13.51227,3.165472,-15.365469,1215.9513,0.0059477696,0.09354248046875,1.248,data/raw/audio_samples\Actor_01\03-01-01-01-01-01-01.wav,Actor_01,neutral,confident
-455.09564,104.489876,-9.1539135,35.3984,-1.7801241,-9.343888,-14.313224,-29.996695,-15.997981,0.92654836,-12.392839,1.0517881,-16.181673,1177.9485,0.0061894082,0.08940197172619048,1.312,data/raw/audio_samples\Actor_01\03-01-01-01-01-02-01.wav,Actor_01,neutral,confident
-434.73895,107.87068,-5.857293,28.316214,-5.300733,-4.3805456,-17.697212,-27.712086,-21.200949,0.23963384,-12.039452,4.205322,-15.931656,1099.8801,0.0072482564,0.1159423828125,1.248,data/raw/audio_samples\Actor_01\03-01-01-01-02-01-01.wav,Actor_01,neutral,confident
-440.97635,102.615906,-0.55612034,29.056,-0.8718108,-1.7269067,-20.79818,-26.50353,-18.231178,1.134747,-10.732768,-0.78389424,-15.475899,1221.0804,0.0067343665,0.11713741987179487,1.216,data/raw/audio_samples\Actor_01\03-01-01-01-02-02-01.wav,Actor_01,neutral,confident
-504.64072,108.10453,0.7547936,29.923216,2.7229438,-5.476415,-14.303703,-19.719933,-20.347515,1.8830616,-12.025671,3.2382174,-13.98022,1243.6804,0.003943104,0.10987367021276596,1.472,data/raw/audio_samples\Actor_01\03-01-02-01-01-01-01.wav,Actor_01,calm,confident
-512.75256,118.96541,-2.8757732,25.608877,6.3401437,-6.343018,-15.3654375,-16.557257,-17.34106,3.3290606,-8.795078,0.62905324,-12.313829,1148.7037,0.0038672125,0.08574969951923077,1.632,data/raw/audio_samples\Actor_01\03-01-02-01-01-02-01.wav,Actor_01,calm,confident
-471.88947,107.691055,-6.2404494,24.854155,-2.0817046,-0.60220784,-13.684922,-19.892126,-18.919075,1.8100804,-6.2754407,0.9928011,-13.606201,1017.7939,0.00566397,0.12655101102941177,1.6,data/raw/audio_samples\Actor_01\03-01-02-01-02-01-01.wav,Actor_01,calm,confident
-462.0743,116.44779,-7.971758,26.920408,-0.6856637,-1.4796934,-17.147484,-20.85009,-18.27327,-0.23301029,-6.5870223,1.8460306,-13.526428,1013.7208,0.006072372,0.10337320963541667,1.504,data/raw/audio_samples\Actor_01\03-01-02-01-02-02-01.wav,Actor_01,calm,confident
-523.2079,115.85018,1.3626431,27.556889,3.828944,-5.5903993,-13.431986,-11.949899,-18.232517,2.4216669,-4.1025305,-1.0869267,-10.74055,1155.2239,0.003149722,0.08210972377232142,1.76,data/raw/audio_samples\Actor_01\03-01-02-02-01-01-01.wav,Actor_01,calm,confident
-518.23236,105.93702,-2.561485,23.268139,1.3591175,-3.640661,-15.343306,-13.768394,-16.018772,3.7334814,-5.6469154,-2.1094923,-11.35047,1299.5864,0.0031862408,0.12618255615234375,2.016,data/raw/audio_samples\Actor_01\03-01-02-02-01-02-01.wav,Actor_01,calm,confident
-506.58054,96.32682,4.383215,15.519945,3.2526321,0.50632465,-16.893564,-12.894623,-17.874056,2.3508956,-1.4915036,-0.51686794,-10.7865,1235.3572,0.00390435,0.14061124559859156,2.24,data/raw/audio_samples\Actor_01\03-01-02-02-02-01-01.wav,Actor_01,calm,confident
-486.26404,95.87489,-0.5606773,25.285473,1.0325768,-0.056710117,-19.884172,-16.91679,-17.025188,5.725358,-3.725145,0.65878975,-13.36402,1287.047,0.0043097828,0.14019972278225806,1.952,data/raw/audio_samples\Actor_01\03-01-02-02-02-02-01.wav,Actor_01,calm,confident
-405.53864,108.52491,-12.750308,27.833645,-9.352281,-11.169152,-17.079004,-24.661098,-18.25058,-2.8454072,-20.700678,4.673813,-19.86634,1257.8593,0.010196546,0.10199770720108696,1.44,data/raw/audio_samples\Actor_01\03-01-03-01-01-01-01.wav,Actor_01,happy,confident
