Resume ID,Job Title,Match Score,Matched Skills,Missing Skills
0_r1,Machine Learning,68.07,"['Python', 'Machine Learning']","['Deep Learning', 'TensorFlow', 'PyTorch', 'Docker', 'Kubernetes', 'Git', 'R']"
0_r1,Machine Learning,67.55,"['Python', 'Machine Learning', 'Spark']","['SQL', 'AWS', 'Docker', 'Git', 'R']"
0_r1,Machine Learning,66.43,"['Python', 'Java', 'Hadoop', 'Spark', 'Hive']","['SQL', 'AWS', 'Power BI', 'Excel', 'Tableau', 'MongoDB', 'MySQL', 'R']"
0_r1,Machine Learning,65.39,['Machine Learning'],['R']
0_r1,Sr. Data Analyst,64.62,['Python'],"['SQL', 'Git', 'Excel', 'Tableau', 'R']"
0_r1,DevOps Engineer,63.96,"['Python', 'Java', 'Machine Learning']","['AWS', 'Kubernetes', 'Linux', 'Django', 'ETL', 'R']"
0_r1,Machine Learning,63.35,"['Python', 'Machine Learning', 'Spark']","['SQL', 'AWS', 'R']"
0_r1,Machine Learning,63.35,"['Python', 'Machine Learning', 'Hadoop', 'Spark']","['SQL', 'AWS', 'Git', 'Excel', 'R']"
0_r1,DevOps Engineer,63.09,[],"['SQL', 'AWS', 'Docker', 'Kubernetes', 'Linux', 'Excel', 'MySQL', 'R']"
0_r1,Machine Learning,62.82,['Machine Learning'],"['Deep Learning', 'R']"
0_r1,Test Developer,62.56,[],"['SQL', 'AWS', 'Docker', 'Kubernetes', 'Git', 'Excel', 'R']"
0_r1,JavaScript Developer,62.54,['Java'],"['SQL', 'R']"
0_r1,PHP Developer,61.94,[],"['SQL', 'AWS', 'MySQL', 'R']"
0_r1,Level 2 Data Analyst,61.91,[],"['Excel', 'R']"
0_r1,Business Analyst - Supply Chain (Contingent),61.84,[],"['SQL', 'AWS', 'Excel', 'Tableau', 'R']"
0_r1,Data Analyst (two positions),61.68,"['Python', 'Java', 'Hadoop', 'Spark', 'Hive']","['SQL', 'AWS', 'ETL', 'R']"
0_r1,Machine Learning,61.39,"['Python', 'Java', 'Machine Learning']","['Docker', 'Kubernetes', 'R']"
0_r1,Entry Level Business Analyst,61.3,['Python'],"['SQL', 'AWS', 'Power BI', 'Excel', 'Tableau', 'R']"
0_r1,DevOps Engineer,60.98,['Python'],"['AWS', 'Linux', 'Git', 'Excel', 'R']"
0_r1,"The Judge Group  New York, NY",60.97,[],"['AWS', 'Linux', 'R']"
0_r1,"Marketing Data Analyst, Global Partnerships",60.72,"['Python', 'Hadoop', 'Spark']","['SQL', 'Power BI', 'Tableau', 'R']"
0_r1,DevOps Engineer,60.6,[],"['SQL', 'AWS', 'Docker', 'Kubernetes', 'Linux', 'Git', 'MongoDB', 'R']"
0_r1,Data Analyst,60.58,[],"['SQL', 'Excel', 'ETL', 'R']"
0_r1,DevOps Engineer,60.5,[],"['AWS', 'Docker', 'Kubernetes', 'Linux', 'Git', 'R']"
0_r1,DevOps Engineer,60.31,"['Python', 'Java', 'Machine Learning']","['AWS', 'Docker', 'Kubernetes', 'Linux', 'Git', 'Excel', 'R']"
0_r1,DevOps Engineer,60.27,['Python'],"['Excel', 'MongoDB', 'R']"
0_r1,DevOps Engineer,60.16,"['Python', 'Java']","['SQL', 'AWS', 'R']"
0_r1,DevOps Engineer,60.13,"['Python', 'Machine Learning']","['AWS', 'Kubernetes', 'R']"
0_r1,DevOps Engineer,60.13,['Python'],"['SQL', 'AWS', 'Linux', 'Tableau', 'R']"
0_r1,Machine Learning,60.03,"['Python', 'Machine Learning', 'Hadoop']","['Tableau', 'R']"
0_r1,Data Operations Analyst,59.93,['Python'],"['SQL', 'AWS', 'Git', 'Excel', 'ETL', 'R']"
0_r1,Business Data Analyst II,59.7,[],"['Excel', 'R']"
0_r1,Backend Developer,59.68,[],"['SQL', 'AWS', 'Docker', 'MySQL', 'R']"
0_r1,DevOps Engineer,59.61,['Python'],"['AWS', 'Docker', 'Kubernetes', 'Git', 'R']"
0_r1,Machine Learning,59.61,"['Python', 'Java', 'Machine Learning', 'Spark']","['PyTorch', 'Kubernetes', 'NLP', 'R']"
0_r1,Node js developer,59.54,['Java'],"['SQL', 'AWS', 'MongoDB', 'MySQL', 'R']"
0_r1,DevOps Engineer,59.4,[],"['AWS', 'Kubernetes', 'Linux', 'R']"
0_r1,Junior Business Systems Analyst (AI & Data Focus),59.29,['Python'],"['SQL', 'AWS', 'Git', 'Tableau', 'ETL', 'R']"
0_r1,Data Integration Analyst,59.21,[],"['SQL', 'AWS', 'Git', 'Excel', 'ETL', 'R']"
0_r1,Software Engineer,59.2,[],"['SQL', 'Docker', 'Kubernetes', 'Linux', 'Git', 'R']"
0_r1,DevOps Engineer,59.07,"['Python', 'Java']","['SQL', 'AWS', 'Docker', 'Kubernetes', 'Linux', 'Git', 'MongoDB', 'MySQL', 'R']"
0_r1,Supply Chain Data Analyst,59.05,['Python'],"['SQL', 'Git', 'Power BI', 'Excel', 'R']"
0_r1,Machine Learning,59.05,"['Python', 'Machine Learning']",['R']
0_r1,"Strategy and Business Analytics Experienced Consultant, TTS, Data",58.92,[],"['SQL', 'AWS', 'Excel', 'Tableau', 'ETL', 'R']"
0_r1,Software Engineer,58.92,['Java'],"['SQL', 'MongoDB', 'MySQL', 'R']"
0_r1,Java Developer,58.91,"['Python', 'Java', 'Hadoop']","['SQL', 'Excel', 'ETL', 'R']"
0_r1,Business Intelligence Analyst,58.85,[],"['SQL', 'AWS', 'Power BI', 'Excel', 'Tableau', 'R']"
0_r1,DevOps Engineer,58.85,"['Python', 'Java']","['SQL', 'AWS', 'Docker', 'Kubernetes', 'Linux', 'Git', 'Excel', 'MySQL', 'R']"
0_r1,Network Administrator,58.84,[],"['AWS', 'Linux', 'R']"
0_r1,Database Administrator,58.83,['Hadoop'],"['SQL', 'AWS', 'Linux', 'Tableau', 'R']"
0_r1,Machine Learning,58.82,"['Python', 'Machine Learning']","['SQL', 'Excel', 'Tableau', 'R']"
0_r1,DevOps Engineer,58.73,[],"['Docker', 'Kubernetes', 'Git', 'R']"
0_r1,Machine Learning,58.71,"['Python', 'Java', 'Machine Learning', 'Hadoop', 'Spark', 'Hive']","['SQL', 'AWS', 'Excel', 'R']"
0_r1,Marketing Data Analyst,58.68,[],"['SQL', 'Git', 'Power BI', 'Tableau', 'R']"
0_r1,Staff Software Engineer - SMB - Marketing Enablement,58.66,"['Python', 'Java']",['R']
0_r1,DevOps Engineer,58.61,[],"['AWS', 'Git', 'R']"
0_r1,Java Developer,58.52,"['Python', 'Java', 'C++', 'Machine Learning']","['Kubernetes', 'Git', 'MongoDB', 'R']"
0_r1,Django Developer,58.45,[],"['SQL', 'AWS', 'R']"
0_r1,DevOps Engineer,58.42,"['Java', 'Machine Learning', 'Spark', 'Hive']","['AWS', 'Docker', 'Kubernetes', 'R']"
0_r1,DevOps Engineer,58.3,['Python'],"['SQL', 'AWS', 'Docker', 'Kubernetes', 'Linux', 'R']"
0_r1,DevOps Engineer,58.26,[],"['SQL', 'ETL', 'R']"
0_r1,DevOps Engineer,58.2,"['Java', 'Machine Learning', 'Spark', 'Hive']","['AWS', 'Docker', 'Kubernetes', 'R']"
0_r1,Machine Learning,58.2,"['Python', 'Java', 'C++', 'Machine Learning', 'Spark']","['TensorFlow', 'NLP', 'R']"
0_r1,DevOps Engineer,58.07,['Python'],"['SQL', 'AWS', 'MongoDB', 'MySQL', 'R']"
0_r1,Junior Data Analyst,57.99,"['Python', 'Java']","['SQL', 'Excel', 'ETL', 'R']"
0_r1,Machine Learning,57.92,"['Python', 'Machine Learning', 'Hadoop', 'Spark']","['SQL', 'AWS', 'Git', 'R']"
0_r1,DevOps Engineer,57.62,[],"['AWS', 'Docker', 'Kubernetes', 'Git', 'Excel', 'R']"
0_r1,Data Analyst,57.6,['Python'],"['SQL', 'Git', 'Power BI', 'Excel', 'ETL', 'R']"
0_r1,Machine Learning,57.54,"['Python', 'Machine Learning', 'Hadoop', 'Spark', 'Hive']","['SQL', 'Excel', 'MongoDB', 'R']"
0_r1,Machine Learning,57.51,"['Python', 'Machine Learning', 'Hadoop', 'Spark']","['SQL', 'Deep Learning', 'TensorFlow', 'PyTorch', 'AWS', 'Excel', 'R']"
0_r1,Backend Developer,57.45,['Java'],"['SQL', 'AWS', 'Docker', 'Git', 'MySQL', 'R']"
0_r1,DevOps Engineer,57.41,['Python'],"['SQL', 'Docker', 'Kubernetes', 'Linux', 'Excel', 'MongoDB', 'MySQL', 'R']"
0_r1,DevOps Engineer,57.37,"['Python', 'Machine Learning']","['Deep Learning', 'AWS', 'Docker', 'Kubernetes', 'Excel', 'R']"
0_r1,Software Engineer,57.24,['Java'],"['SQL', 'AWS', 'Docker', 'Kubernetes', 'MongoDB', 'MySQL', 'R']"
0_r1,DevOps Engineer,57.22,[],"['AWS', 'Excel', 'R']"
0_r1,Cloud Data Analyst,57.17,[],"['SQL', 'AWS', 'ETL', 'R']"
0_r1,DevOps Engineer,57.16,['Python'],"['AWS', 'Kubernetes', 'Git', 'R']"
0_r1,DevOps Engineer,56.98,"['Python', 'C++']","['SQL', 'AWS', 'Docker', 'Kubernetes', 'Linux', 'Git', 'R']"
0_r1,DevOps Engineer,56.89,['Python'],"['AWS', 'Docker', 'Kubernetes', 'Git', 'R']"
0_r1,Django Developer,56.88,"['Python', 'Java', 'Hadoop', 'Spark']","['AWS', 'Django', 'R']"
0_r1,DevOps Engineer,56.88,['Python'],"['SQL', 'AWS', 'Docker', 'Linux', 'Git', 'MySQL', 'R']"
0_r1,DevOps Engineer,56.86,['Python'],"['AWS', 'Docker', 'Kubernetes', 'Linux', 'Git', 'R']"
0_r1,Machine Learning,56.81,"['Python', 'Machine Learning']","['SQL', 'Deep Learning', 'Power BI', 'Excel', 'NLP', 'R']"
0_r1,DevOps Engineer,56.74,"['Python', 'Java']","['AWS', 'Docker', 'Kubernetes', 'Linux', 'Git', 'R']"
0_r1,Data Science Lead Analyst,56.73,"['Python', 'Machine Learning']","['SQL', 'AWS', 'Power BI', 'Tableau', 'R']"
0_r1,Data Analyst III,56.72,"['Python', 'Machine Learning']","['SQL', 'Tableau', 'MySQL', 'ETL', 'R']"
0_r1,DevOps Engineer,56.71,['Python'],"['Linux', 'R']"
0_r1,Data Analytics Analyst,56.68,[],"['SQL', 'Excel', 'Tableau', 'R']"
0_r1,DevOps Engineer,56.67,['Python'],"['AWS', 'Docker', 'Kubernetes', 'Git', 'R']"
0_r1,Node js developer,56.67,['Python'],"['AWS', 'R']"
